K,num_trials,mean_boundary_delta,std_boundary_delta,min_boundary_delta,max_boundary_delta
1,5000,166.31422952652,77.3142751682233,21.117639541626,729.250192642212
2,5000,116.611730690002,53.3528876016663,21.7738151550293,629.750156402588
3,5000,93.8838879013062,42.3270342906498,19.6484565734863,623.750162124634
4,5000,82.7239076709747,39.2686613208463,19.9301242828369,573.75020980835
5,5001,73.2990908494021,34.3832696286619,17.0861721038818,597.750186920166
6,5000,65.9867469215393,29.7516984896224,16.8831825256348,349.37539100647
7,5000,61.8237348937988,29.1326461029703,-99.999475479126,379.125165939331
8,5000,57.4561904621124,26.4458556925702,-99.999475479126,407.12513923645
9,5000,54.5410721302032,26.2039877833785,-99.999475479126,550.250101089478
10,5001,52.0011100738532,24.3345433346061,-99.999475479126,373.625040054321
11,5000,48.8759992218018,23.0556710782909,-99.999475479126,216.062641143799
12,5000,46.9082177257538,24.4944499482725,-99.999475479126,650.25053024292
13,5000,44.5761958217621,23.4618954701565,-99.999475479126,313.62509727478
14,5000,42.0787631130218,24.7612227630539,-99.999475479126,261.1252784729
15,5001,40.0834238879611,27.4469975227995,-99.999475479126,861.250066757202
16,5000,38.2145197486877,25.5475539044774,-99.999475479126,252.812671661377
17,5000,35.5525808238983,29.2030425322551,-99.999475479126,225.437927246094
18,5000,32.7433662986755,31.6707867094113,-99.999475479126,332.87501335144
19,5000,30.6501592731476,35.1034654176638,-99.999475479126,277.125263214111
20,5001,27.0065132176201,38.371763185654,-99.999475479126,267.875337600708
21,5000,23.2081568241119,42.1943211543571,-99.999475479126,407.875204086304
22,5000,18.8843502998352,45.6885255035805,-99.999475479126,168.937587738037
23,5000,13.963705739975,50.101732601369,-99.999475479126,282.625389099121
24,5001,10.2347944431652,52.4173332019295,-99.999475479126,153.312635421753
25,5000,4.96255187988281,55.5365127798801,-99.999475479126,432.125377655029
26,5000,-0.398498973846436,57.9808000173899,-99.999475479126,241.937780380249
27,5000,-4.37679038047791,59.7866259596654,-99.999475479126,215.937805175781
28,5000,-10.606555223465,61.9154222746505,-99.999475479126,143.687677383423
29,5001,-11.8145913797435,62.1481648706277,-99.999475479126,156.187534332275
30,5000,-17.9401120376587,63.5343856467954,-99.999475479126,199.062919616699
31,5000,-20.622337436676,63.8332834562055,-99.999475479126,228.563022613525
32,5000,-24.1350950622559,64.132915204934,-99.999475479126,234.563016891479
33,5000,-24.1604520797729,63.8654523133201,-99.999475479126,179.062938690186
34,5001,-31.5691319877351,64.7342937366051,-99.999475479126,301.125240325928
35,5000,-33.937890958786,64.2819226722417,-99.999475479126,176.187515258789
36,5000,-34.9039788913727,63.9384870820141,-99.999475479126,188.312864303589
37,5000,-40.309846906662,64.02254146067,-99.999475479126,237.187719345093
38,5000,-42.9666651439667,63.5175187461829,-99.999475479126,161.43798828125
39,5001,-43.9377850900767,62.9168953263212,-99.999475479126,160.812759399414
40,5000,-46.4279573059082,62.3736165136509,-99.999475479126,166.062688827515
41,5000,-47.474987411499,62.3228962370522,-99.999475479126,157.437992095947
42,5000,-50.2006355857849,61.6026846033873,-99.999475479126,127.406549453735
43,5001,-51.7874205787047,61.1107855068131,-99.999475479126,240.687847137451
44,5000,-56.4759833908081,59.6265957718265,-99.999475479126,108.343887329102
45,5000,-58.2607963752747,58.6887700911086,-99.999475479126,184.687900543213
46,5000,-59.2398745918274,58.1900390896615,-99.999475479126,111.031532287598
47,5000,-60.1789016532898,57.9909292549471,-99.999475479126,184.437704086304
48,5001,-61.3810424541526,57.1147362120199,-99.999475479126,95.2188014984131
49,5000,-63.7636920452118,56.3206605183955,-99.999475479126,303.375434875488
50,5000,-63.1696890449524,56.1639101501555,-99.999475479126,97.1563816070557
51,5000,-65.9446405029297,55.0702798704715,-99.999475479126,178.062677383423
52,5000,-67.35131275177,54.4047796681306,-99.999475479126,190.31286239624
53,5001,-68.0659925048529,53.8653916425561,-99.999475479126,180.812740325928
54,5000,-70.4667681598663,52.3611756379994,-99.999475479126,102.21905708313
55,5000,-70.5402265739441,52.2868632124098,-99.999475479126,151.437997817993
56,5000,-71.152654838562,52.2729353038497,-99.999475479126,204.812717437744
57,5000,-70.3685766983032,51.9860847780865,-99.999475479126,160.062694549561
58,5001,-72.288602753845,50.9612430450768,-99.999475479126,132.687950134277
59,5000,-73.9274135875702,49.8989157262749,-99.999475479126,117.156362533569
60,5000,-75.9340739345551,48.5017062318163,-99.999475479126,224.062633514404
61,5000,-76.4879455280304,47.5446863228889,-99.999475479126,104.843759536743
62,5001,-78.6363956952567,46.1391794694636,-99.999475479126,94.1566467285156
63,5000,-77.0560572338104,47.3796217659781,-99.999475479126,111.656761169434
64,5000,-78.6529927158356,45.9220288796345,-99.999475479126,138.812780380249
65,5000,-80.5087890052795,44.2009795463553,-99.999475479126,94.4063186645508
66,5000,-79.8747753429413,44.8544109545973,-99.999475479126,161.312627792358
67,5001,-81.2482421957381,43.4775489574284,-99.999475479126,108.969116210938
68,5000,-81.081005821228,43.5025285513024,-99.999475479126,146.062707901001
69,5000,-81.4966254615784,43.0893505542935,-99.999475479126,114.969110488892
70,5000,-82.9797889041901,41.6329996156365,-99.999475479126,155.187797546387
71,5000,-82.421406955719,42.1109163268097,-99.999475479126,143.438005447388
72,5001,-83.1856149502979,42.0879597771673,-99.999475479126,286.375188827515
73,5000,-84.0551037979126,40.4556164649656,-99.999475479126,86.9691371917725
74,5000,-82.7323646450043,42.1047063534405,-99.999475479126,142.312908172607
75,5000,-84.8753303432465,39.44975960174,-99.999475479126,132.312917709351
76,5000,-85.6826171684265,38.7883244463115,-99.999475479126,155.93786239624
77,5001,-86.149231831185,38.0283165643513,-99.999475479126,105.968856811523
78,5000,-85.8174084377289,38.301569776551,-99.999475479126,89.9688720703125
79,5000,-85.795236415863,38.2978765322225,-99.999475479126,82.594108581543
80,5000,-86.7467945957184,36.9834110292089,-99.999475479126,67.3441886901856
81,5001,-87.4986723789428,36.2714987803971,-99.999475479126,63.4223461151123
82,5000,-87.9027468109131,35.7452838005256,-99.999475479126,79.7192096710205
83,5000,-88.4412926387787,35.0780742014809,-99.999475479126,102.531671524048
84,5000,-88.5512119674683,34.7485770739454,-99.999475479126,112.96911239624
85,5000,-89.1765212059021,33.6785292673302,-99.999475479126,80.1566600799561
86,5001,-89.5623801970715,33.1903135897917,-99.999475479126,64.2190933227539
87,5000,-88.9873149871826,33.8978839417204,-99.999475479126,93.6567783355713
88,5000,-89.0098851203918,34.0809848751875,-99.999475479126,140.562582015991
89,5000,-90.330577173233,32.2586206178088,-99.999475479126,114.594078063965
90,5000,-90.4342767333984,31.9185646187772,-99.999475479126,81.2188148498535
91,5001,-91.1854736997089,32.3751166014596,-99.999475479126,645.250272750855
92,5000,-90.874765586853,31.2222900726457,-99.999475479126,96.7813491821289
93,5000,-91.2619285011292,30.8252919143055,-99.999475479126,74.9067306518555
94,5000,-91.8627961158752,29.7864750890482,-99.999475479126,138.437747955322
95,5000,-90.4954703807831,31.9383214019747,-99.999475479126,107.531404495239
96,5001,-91.5866907394736,30.0280358495954,-99.999475479126,121.65675163269
97,5000,-91.3146694946289,30.5769579206015,-99.999475479126,143.062973022461
98,5000,-91.9966195392609,29.2582798885544,-99.999475479126,92.0312881469727
99,5000,-91.6582326602936,30.2645924986003,-99.999475479126,65.093994140625
100,5001,-92.6228692974479,28.1981760796709,-99.999475479126,90.4063224792481
101,5000,-92.5729674816132,28.3941209383269,-99.999475479126,138.187551498413
102,5000,-92.232319393158,29.0005610890871,-99.999475479126,100.15664100647
103,5000,-92.9505140399933,27.4805937383206,-99.999475479126,66.2815093994141
104,5000,-92.8424706077576,27.9455916580187,-99.999475479126,189.312601089478
105,5001,-93.0781718755431,27.3705478399414,-99.999475479126,86.9067192077637
106,5000,-93.3497712516785,26.6950326812336,-99.999475479126,92.7189350128174
107,5000,-94.2436104202271,25.176998547751,-99.999475479126,66.6565418243408
108,5000,-93.5827565002441,26.4005430676684,-99.999475479126,86.1566543579102
109,5000,-94.4108803367615,24.7828258311647,-99.999475479126,118.406295776367
110,5001,-93.9005038710123,25.8973225541769,-99.999475479126,76.5316963195801
111,5000,-94.2432379055023,25.2126046851545,-99.999475479126,141.06297492981
112,5000,-94.2436594104767,24.9275266062841,-99.999475479126,89.0939712524414
113,5000,-94.3692721939087,24.7581429673124,-99.999475479126,77.46901512146
114,5000,-94.2774980354309,24.8985518210371,-99.999475479126,93.7816143035889
115,5001,-94.5637910896672,24.4847355542796,-99.999475479126,129.812526702881
116,5000,-94.6382594013214,24.2380977976515,-99.999475479126,53.9531707763672
117,5000,-95.5495624923706,21.9698746022179,-99.999475479126,67.7816390991211
118,5000,-95.0505490684509,23.2971787083966,-99.999475479126,95.9688663482666
119,5000,-95.2958884620667,22.6668460470121,-99.999475479126,80.9067249298096
120,5001,-95.7271435670294,21.5571839307921,-99.999475479126,90.3439044952393
121,5000,-95.1419286823273,22.8892786253407,-99.999475479126,92.0312881469727
122,5000,-95.0905274200439,23.1726414316461,-99.999475479126,90.9067153930664
123,5000,-96.163924036026,20.6359405906217,-99.999475479126,74.5316982269287
124,5001,-95.0456359343061,23.3765458016522,-99.999475479126,144.312906265259
125,5000,-95.8790677642822,21.110629197301,-99.999475479126,62.9534244537354
126,5000,-95.7139748191834,21.7867150445389,-99.999475479126,72.0942497253418
127,5000,-96.2704680728912,20.0825453898202,-99.999475479126,69.2817687988281
128,5000,-95.0265579032898,23.2731094927778,-99.999475479126,65.406608581543
129,5001,-95.8758914358638,21.4015950449809,-99.999475479126,89.7192001342773
130,5000,-96.1540887451172,20.4965769847399,-99.999475479126,85.906457901001
131,5000,-95.5456688690186,21.9945488290766,-99.999475479126,60.9843730926514
132,5000,-95.6638238048553,21.6376650358727,-99.999475479126,107.281732559204
133,5000,-96.4408315086365,19.6490306248887,-99.999475479126,119.218778610229
134,5001,-96.2125768854103,20.4248294775551,-99.999475479126,61.5781307220459
135,5000,-96.5374213981628,19.318177495294,-99.999475479126,104.969120025635
136,5000,-95.9456243228912,20.9698436925106,-99.999475479126,73.5938549041748
137,5000,-96.2572339916229,20.2976509509718,-99.999475479126,48.6408233642578
138,5000,-96.7956317996979,18.5213605342251,-99.999475479126,76.0313034057617
139,5001,-96.5978892272388,19.1910078047736,-99.999475479126,125.093936920166
140,5000,-96.6717559146881,18.9189781593452,-99.999475479126,71.0315704345703
141,5000,-97.1308763790131,17.7133835664627,-99.999475479126,93.3441638946533
142,5000,-97.2749109649658,17.2059601568718,-99.999475479126,76.7189502716064
143,5001,-96.767217172334,18.8615553516444,-99.999475479126,60.2972507476807
144,5000,-96.8677688407898,18.3603550533122,-99.999475479126,55.0473213195801
145,5000,-96.8499817085266,19.4098491392633,-99.999475479126,302.625370025635
146,5000,-97.3591061115265,16.956112779349,-99.999475479126,55.7659149169922
147,5000,-96.8778403759003,18.4123441712838,-99.999475479126,79.7192096710205
148,5001,-96.9951366477193,18.1095967143989,-99.999475479126,64.4687652587891
149,3232,-96.9953410843811,17.9530031810781,-99.999475479126,46.2972640991211
